User_ID,3,8,16,17,18,26,28,30,32,33,44,45,46,47,48,52,55,56,57,58,68,76,77,78,79,83,84,97,104,108,110,111,118,122,127,133,138,143,148,152,156,165,166,167,171,173,175,178,180,181,185,187,188,189,191,197,199,201,208,209,213,215,216,223,225,232,238,239,240,241,242,248,252,253,255,256,257,262,268,269,270,273,275,281,283,285,289,290,295,297,299,304,305,311,312,313,316,329,330,331,334,337,341,344,345,348,353,356,357,358,359,360,361,362,367,371,375,378,381,385,390,393,395,398,400,401,405,406,408,413,416,418,420,422,424,425,426,427,431,432,433,436,438,442,443,445,452,454,456,457
6,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,2.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
7,,5.0,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,,,5.0,5.0,,,,,4.0,,,,,5.0,,4.0,,,,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,5.0,5.0,,,,,,,,3.0,,,,,5.0,,,,1.0,,,,,3.0,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,,,,3.0,,,,,3.0,,1.0,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,,,
134,,,,,,,5.0,,,,,,,,,,5.0,,,5.0,,,4.0,,,,,,,,,,5.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,4.0,5.0,5.0,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,5.0,,,,,4.0,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,4.0,,,,,,3.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
199,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,4.0,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,3.0,,,,,,,,4.0,,5.0,4.0,5.0,,,,,,,4.0,,,,,,,,4.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0
201,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,3.0,,,,,,3.0,,,,,4.0,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
283,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,,5.0,,,,4.0,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
